Manual,Gender,Speaker,Citation,Text,Partial
CFM_BM_2019_T.xml,men,D. Todd Christofferson,"""Why the Church,"" Ensign, Nov. 2015, 108–11","""I realize that there are those who consider themselves religious or spiritual and yet reject participation in a church or even the need for such an institution. Religious practice is for them purely personal. Yet the Church is the creation of Him in whom our spirituality is centered — Jesus Christ. It is worth pausing to consider why He chooses to use a church, His Church, The Church of Jesus Christ of Latter-day Saints, to carry out His and His Father's work."" ""To preach the good news of the gospel of Jesus Christ and administer the ordinances of salvation — in other words, to bring people to Christ."" ""To create a community of Saints that will sustain one another in the «strait and narrow path which leads to eternal life» [2 Nephi 31:18]. . . . Joined in faith, we teach and edify one another and strive to approach the full measure of discipleship."" ""offer a weekly gathering of respite and renewal, a time and place to leave the world behind — the Sabbath."" ""To achieve needful things that cannot be accomplished by individuals or smaller groups [including] dealing with poverty, . . . [taking] the gospel to all the world. . . [building and operating] temples, houses of the Lord, where vital ordinances and covenants may be administered."" ""the Church's priesthood officers preserve the purity of the Savior's doctrine and the integrity of His saving ordinances, . . . help prepare those who wish to receive them, judge the qualification and worthiness of those who apply, and then perform them . . . . [and] identify both truth and falsehood.""",True
CFM_BM_2019_T.xml,men,D. Todd Christofferson,"""As Many as I Love, I Rebuke and Chasten,"" Ensign, May 2011, 97–100","""To persuade us to repent."" ""To refine and sanctify us."" ""To redirect our course in life to what God knows is a better path.""",True
CFM_BM_2019_T.xml,men,Dallin H. Oaks,"""The Witness: Martin Harris,"" Ensign, May 1999, 36","""The testimony of the Three Witnesses to the Book of Mormon stands forth in great strength. Each of the three had ample reason and opportunity to renounce his testimony if it had been false, or to equivocate on details if any had been inaccurate. As is well known, because of disagreements or jealousies involving other leaders of the Church, each one of these three witnesses was excommunicated from The Church of Jesus Christ of Latter-day Saints by about eight years after the publication of their testimony. All three went their separate ways, with no common interest to support a collusive effort. Yet to the end of their lives — periods ranging from 12 to 50 years after their excommunications — not one of these witnesses deviated from his published testimony or said anything that cast any shadow on its truthfulness""",False
CFM_BM_2019_T.xml,men,Dallin H. Oaks,"""The Great Plan of Happiness, ""Ensign, Nov. 1993, 72–73","""When Adam and Eve received the first commandment, they were in a transitional state, no longer in the spirit world but with physical bodies not yet subject to death and not yet capable of procreation. They could not fulfill the Father's first commandment without transgressing the barrier between the bliss of the Garden of Eden and the terrible trials and wonderful opportunities of mortal life. . . . ¶ . . . The Prophet Lehi explained that «if Adam had not transgressed he would not have fallen» (2 Ne. 2:22), but would have remained in the same state in which he was created. ¶ . . . The Fall was planned, Lehi concludes, because «all things have been done in the wisdom of him who knoweth all things» [2 Ne. 2:24]. ¶ It was Eve who first transgressed the limits of Eden in order to initiate the conditions of mortality. Her act, whatever its nature, was formally a transgression but eternally a glorious necessity to open the doorway toward eternal life. Adam showed his wisdom by doing the same. And thus Eve and «Adam fell that men might be» [2 Ne. 2:25]. ¶ Some Christians condemn Eve for her act, concluding that she and her daughters are somehow flawed by it. Not the Latter-day Saints! Informed by revelation, we celebrate Eve's act and honor her wisdom and courage in the great episode called the Fall. . . . ¶ Modern revelation shows that our first parents understood the necessity of the Fall. Adam declared, «Blessed be the name of God, for because of my transgression my eyes are opened, and in this life I shall have joy, and again in the flesh I shall see God» (Moses 5:10)""",False
CFM_BM_2019_T.xml,men,Dallin H. Oaks,"""The Atonement and Faith,"" Ensign, Apr. 2010, 33–34","""We tend to think of the results of repentance as simply cleansing us from sin, but that is an incomplete view. . . . A person who sins is like a tree that bends easily in the wind. On a windy and rainy day, the tree bends so deeply against the ground that the leaves become soiled with mud, like sin. If we focus only on cleaning the leaves, the weakness in the tree that allowed it to bend and soil its leaves may remain. Similarly, a person who is merely sorry to be soiled by sin will sin again in the next high wind. The susceptibility to repetition continues until the tree has been strengthened. ¶ When a person has gone through the process that results in what the scriptures call «a broken heart and a contrite spirit,» the Savior does more than cleanse that person from sin. He gives him or her new strength. That strengthening is essential for us to realize the purpose of the cleansing, which is to return to our Heavenly Father. To be admitted to His presence, we must be more than clean. We must also be changed from a morally weak person who has sinned into a strong person with the spiritual stature to dwell in the presence of God""",False
CFM_BM_2019_T.xml,men,Dallin H. Oaks,"""Strengthened by the Atonement of Jesus Christ,"" Ensign, Nov. 2015, 64","""Our Savior has revealed that He «descended below all things» (D&C 88:6). . . . We might even say that having descended beneath it all, He is perfectly positioned to lift us and give us the strength we need to endure our afflictions. We have only to ask""",False
CFM_BM_2019_T.xml,men,Dallin H. Oaks,"""Sharing the Gospel,"" Ensign, Nov. 2001, 8","""I was assigned to visit a less-active member, a successful professional many years older than I. Looking back on my actions, I realize that I had very little loving concern for the man I visited. I acted out of duty, with a desire to report 100 percent on my home teaching. One evening, close to the end of a month, I phoned to ask if my companion and I could come right over and visit him. His chastening reply taught me an unforgettable lesson.  ¶ «No, I don't believe I want you to come over this evening,» he said. «I'm tired. I've already dressed for bed. I am reading, and I am just not willing to be interrupted so that you can report 100 percent on your home teaching this month.» That reply still stings me because I knew he had sensed my selfish motivation. ¶ I hope no person we approach with an invitation to hear the message of the restored gospel feels that we are acting out of any reason other than a genuine love for them and an unselfish desire to share something we know to be precious""",False
CFM_BM_2019_T.xml,men,Dallin H. Oaks,"""Small and Simple Things,"" Ensign, May 2018, 90","""I was reminded of the power of small and simple things over time by something I saw on a morning walk. . . . The thick and strong concrete sidewalk [was] cracking. Is this the result of some large and powerful thrust? No, this cracking is caused by the slow, small growth of one of the roots reaching out from the adjoining tree. . . .  ¶ So is the powerful effect over time of the small and simple things we are taught in the scriptures and by living prophets. Consider the scripture study we've been taught to incorporate into our daily lives. Or consider the personal prayers and the kneeling family prayers that are regular practices for faithful Latter-day Saints. . . . Though each of these practices may seem to be small and simple, over time they result in powerful spiritual uplift and growth. This occurs because each of these small and simple things invites the companionship of the Holy Ghost, the Testifier who enlightens us and guides us into truth""",False
CFM_BM_2019_T.xml,men,Dallin H. Oaks,"""Loving Others and Living with Differences,"" Ensign, Nov. 2014, 27","""We should all follow the gospel teachings to love our neighbor and avoid contention. Followers of Christ should be examples of civility. We should love all people, be good listeners, and show concern for their sincere beliefs. Though we may disagree, we should not be disagreeable. Our stands and communications on controversial topics should not be contentious. We should be wise in explaining and pursuing our positions and in exercising our influence. In doing so, we ask that others not be offended by our sincere religious beliefs and the free exercise of our religion. We encourage all of us to practice the Savior's Golden Rule: «Whatsoever ye would that men should do to you, do ye even so to them» [Matthew 7:12]. ¶ When our positions do not prevail, we should accept unfavorable results graciously and practice civility with our adversaries""",False
CFM_BM_2019_T.xml,men,Dallin H. Oaks,"""Spiritual Gifts,"" Ensign, Sept. 1986, 72","""Having lost her husband, my widowed mother was incomplete. How she prayed for what she needed to fulfill her responsibility to raise her three small children! She was seeking, she was worthy, and she was blessed! Her prayers were answered in many ways, including the receipt of spiritual gifts. She had many, but the ones that stand out in my memory are the gifts of faith, testimony, and wisdom""",False
CFM_BM_2019_T.xml,men,David A. Bednar,"'Lehi's Dream: Holding Fast to the Rod,' Ensign, Oct. 2011, 34","""The fruit on the tree is a symbol for the blessings of the Atonement""",False
CFM_BM_2019_T.xml,men,David A. Bednar,"""That We May Always Have His Spirit to Be with Us,"" Ensign, May 2006, 31","""The Holy Ghost operates in our lives precisely as the Liahona did for Lehi and his family, according to our faith and diligence and heed""",False
CFM_BM_2019_T.xml,men,David A. Bednar,"""We Believe in Being Chaste,"" Ensign, May 2013, 41–44","""in a world that increasingly mocks the sanctity of procreation and minimizes the worth of human life""",False
CFM_BM_2019_T.xml,men,David A. Bednar,"""Ye Must Be Born Again,"" Ensign, May 2007, 19–21","""A pickle is a cucumber that has been transformed according to a specific recipe and series of steps. The first steps in the process of changing a cucumber into a pickle are preparing and cleaning . . . . ¶ The next steps in this process of change are immersing and saturating the cucumbers in salt brine for an extended period of time. . . . Cucumbers can only become pickles if they are totally and completely immersed in the brine for the prescribed time period. The curing process gradually alters the composition of the cucumber and produces the transparent appearance and distinctive taste of a pickle. An occasional sprinkle of or dip in the brine cannot produce the necessary transformation. Rather, steady, sustained, and complete immersion is required for the desired change to occur. ¶ The final step in the process requires the sealing of the cured pickles in jars that have been sterilized and purified. The pickles are packed in canning jars, covered with boiling hot brine, and processed in a boiling-water-bath canner. All impurities must be removed from both the pickles and the bottles so the finished product can be protected and preserved. . . . ¶ Just as a cucumber must be prepared and cleaned before it can be changed into a pickle, so you and I can be prepared with «the words of faith and of good doctrine» (1 Timothy 4:6) and initially cleansed through the ordinances and covenants administered by the authority of the Aaronic Priesthood. . . . ¶ Just as a cucumber is transformed into a pickle as it is immersed in and saturated with salt brine, so you and I are born again as we are absorbed by and in the gospel of Jesus Christ. . . . This phase of the transformation process requires time, persistence, and patience. . . .  ¶ The boiling-water-bath procedure enables the pickles to be both protected and preserved over a long period of time. In a similar way, we progressively become purified and sanctified as you and I are washed in the blood of the Lamb, are born again, and receive the ordinances and honor the covenants that are administered by the authority of the Melchizedek Priesthood""",False
CFM_BM_2019_T.xml,men,David A. Bednar,"""Converted unto the Lord,"" Ensign, Nov. 2012, 107–8","""For many of us, conversion is an ongoing process and not a onetime event that results from a powerful or dramatic experience""",False
CFM_BM_2019_T.xml,men,David A. Bednar,"'Lehi's Dream: Holding Fast to the Rod,' Ensign, Oct. 2011, 34–36.","""In 1 Nephi 8:21–23 we learn about the first group of people who pressed forward and commenced in the path that led to the tree of life. However, as the people encountered the mist of darkness, which represents «the temptations of the devil» [1 Nephi 12:17], they lost their way, wandered off, and were lost. Notice that no mention is made in these verses of the rod of iron. Those who ignore or treat lightly the word of God do not have access to that divine compass which points the way to the Savior."" ""In 1 Nephi 8:24–28 we read about a second group of people who obtained the strait and narrow path that led to the tree of life. This group «did press forward through the mist of darkness, clinging to the rod of iron, even until they did come forth and partake of the fruit of the tree» [verse 24]. However, as the finely dressed occupants of the great and spacious building mocked this second group of people, «they were ashamed» and «fell away into forbidden paths and were lost» [verse 28]. . . . Even with faith, commitment, and the word of God, this group eventually was lost — perhaps because they only periodically read or studied or searched the scriptures."" ""In verse 30 we read about a third group of people who pressed forward «continually holding fast to the rod of iron, until they came forth and fell down and partook of the fruit of the tree.» The key phrase in this verse is continually holding fast to the rod of iron. The third group also pressed forward with faith and conviction; however, there is no indication that they wandered off, fell into forbidden paths, or were lost. Perhaps this third group of people consistently read and studied and searched the scriptures. . . . This is the group you and I should strive to join."" ""A fourth group did not seek after the tree, desiring instead the great and spacious building as their ultimate destination [see 1 Nephi 8:31–33].""",True
CFM_BM_2019_T.xml,men,David A. Bednar,"""Converted unto the Lord,"" Ensign, Nov. 2012, 107–9","""The essence of the gospel of Jesus Christ entails a fundamental and permanent change in our very nature made possible through the Savior's Atonement. True conversion brings a change in one's beliefs, heart, and life to accept and conform to the will of God (see Acts 3:19; 3 Nephi 9:20) and includes a conscious commitment to become a disciple of Christ."" ""Two major elements are described in these verses: [1] the knowledge of the truth, which may be interpreted as a testimony, and [2] converted unto the Lord, which I understand to be conversion to the Savior and His gospel. Thus, the powerful combination of both testimony and conversion unto the Lord produced firmness and steadfastness and provided spiritual protection. ¶ They never did fall away and surrendered «the weapons of their rebellion, that they did not fight against God any more.» To set aside cherished «weapons of rebellion» such as selfishness, pride, and disobedience requires more than merely believing and knowing. Conviction, humility, repentance, and submissiveness precede the abandonment of our weapons of rebellion. Do you and I still possess weapons of rebellion that keep us from becoming converted unto the Lord? If so, then we need to repent now. ¶ Note that the Lamanites were not converted to the missionaries who taught them or to the excellent programs of the Church. They were not converted to the personalities of their leaders or to preserving a cultural heritage or the traditions of their fathers. They were converted unto the Lord — to Him as the Savior and to His divinity and doctrine — and they never did fall away""",True
CFM_BM_2019_T.xml,men,David A. Bednar,"Ensign, Nov. 2006, 89–92","""To believe that someone or something can make us feel offended, angry, hurt, or bitter diminishes our moral agency and transforms us into objects to be acted upon. As agents, however, you and I have the power to act and to choose how we will respond to an offensive or hurtful situation."" ""The Savior is the greatest example of how we should respond to potentially offensive events or situations [see 1 Nephi 19:9]."" ""One of the greatest indicators of our own spiritual maturity is revealed in how we respond to the weaknesses, the inexperience, and the potentially offensive actions of others."" ""If a person says or does something that we consider offensive, our first obligation is to refuse to take offense and then communicate privately, honestly, and directly with that individual. Such an approach invites inspiration from the Holy Ghost and permits misperceptions to be clarified and true intent to be understood.""",True
CFM_BM_2019_T.xml,men,Dieter F. Uchtdorf,"""Three Sisters,"" Ensign, Nov. 2017, 18–19","""With so many forces trying to draw us away, how do we keep our vision fixed on the glorious happiness promised to the faithful? I believe the answer can be found in a dream that a prophet had thousands of years ago. The prophet's name is Lehi, and his dream is recorded in the precious and wonderful Book of Mormon""",False
CFM_BM_2019_T.xml,men,Dieter F. Uchtdorf,"""The Gift of Grace,"" Ensign, May 2015, 110","""I wonder if sometimes we misinterpret the phrase «after all we can do.» We must understand that «after» does not equal «because.» ¶ We are not saved «because» of all that we can do. Have any of us done all that we can do? Does God wait until we've expended every effort before He will intervene in our lives with His saving grace? . . . ¶ I am certain Nephi knew that the Savior's grace allows and enables us to overcome sin [see 2 Nephi 4:19–35; Alma 34:31]. This is why Nephi labored so diligently to persuade his children and brethren «to believe in Christ, and to be reconciled to God» [2 Nephi 25:23].  ¶ After all, that is what we can do! And that is our task in mortality!""",False
CFM_BM_2019_T.xml,men,Dieter F. Uchtdorf,"""Have We Not Reason to Rejoice?"" Ensign, Nov. 2007, 20","""When I was a young boy, «endure to the end» meant to me mainly that I had to try harder to stay awake until the end of our Church meetings. Later as a teenager . . . I linked it with youthful empathy to the efforts of our dear elderly members to hang in there until the end of their lives. . . . ¶ . . . Enduring to the end is not just a matter of passively tolerating life's difficult circumstances or «hanging in there.» Ours is an active religion, helping God's children along the strait and narrow path to develop their full potential during this life and return to Him one day. Viewed from this perspective, enduring to the end is exalting and glorious, not grim and gloomy. This is a joyful religion, one of hope, strength, and deliverance. . . ¶ Enduring to the end implies «patient continuance in well doing» (Romans 2:7), striving to keep the commandments (see 2 Nephi 31:10), and doing the works of righteousness (see D&C 59:23)""",False
CFM_BM_2019_T.xml,men,Dieter F. Uchtdorf,"""The Power of a Personal Testimony,"" Ensign, Nov. 2006, 38–39","""First: Desire to believe. The Book of Mormon encourages us: «If [you] will awake and arouse your faculties, even to an experiment upon my words, and exercise a particle of faith, . . . even if [you] can no more than desire to believe» (Alma 32:27). . . . God promises us divine help even if we have only a desire to believe, but it has to be a true and not a pretended desire. ¶ Second: Search the scriptures. Have questions; study them out; search in the scriptures for answers. Again, the Book of Mormon has good advice for us: «If [you] give place, that a seed may be planted in your heart» through diligent study of the word of God, the good seed «will begin to swell within your breasts» if you will not resist with unbelief. This good seed will «enlarge [your] soul» and «enlighten [your] understanding» [Alma 32:28]. ¶ Third: Do the will of God; keep the commandments. . . . We need to come to Christ and follow His teachings. The Savior taught: «My doctrine is not mine, but his that sent me. If any man will do his will , he shall know of the doctrine» [John 7:16–17; italics added]. . . . ¶ Fourth: Ponder, fast, and pray. To receive knowledge from the Holy Ghost, we must ask Heavenly Father for it [see Alma 5:45–46; Moroni 10:3–4]""",False
CFM_BM_2019_T.xml,men,Dieter F. Uchtdorf,"""Point of Safe Return,"" Ensign, May 2007, 101","""Once we have truly repented, Christ will take away the burden of guilt for our sins. We can know for ourselves that we have been forgiven and made clean. The Holy Ghost will verify this to us; He is the Sanctifier. No other testimony of forgiveness can be greater""",False
CFM_BM_2019_T.xml,men,Dieter F. Uchtdorf,"""The Greatest among You,"" Ensign, May 2017, 79–80","""In God's kingdom, greatness and leadership means seeing others as they truly are — as God sees them — and then reaching out and ministering to them. It means rejoicing with those who are happy, weeping with those who grieve, lifting up those in distress, and loving our neighbor as Christ loves us. ... ¶ ... Leadership in the Church is not so much about directing others as it is about our willingness to be directed by God""",False
CFM_BM_2019_T.xml,men,Dieter F. Uchtdorf,"""The Infinite Power of Hope,"" Ensign, Nov. 2008, 21, 23–24","""Faith, hope, and charity complement each other, and as one increases, the others grow as well. Hope comes of faith, for without faith, there is no hope. In like manner faith comes of hope, for faith is «the substance of things hoped for.» ¶ Hope is critical to both faith and charity. When disobedience, disappointment, and procrastination erode faith, hope is there to uphold our faith. When frustration and impatience challenge charity, hope braces our resolve and urges us to care for our fellowmen even without expectation of reward. The brighter our hope, the greater our faith. The stronger our hope, the purer our charity""",False
CFM_BM_2019_T.xml,men,Donald L. Hallstrom,"""Turn to the Lord,"" Ensign, May 2010, 78–79","""My paternal grandparents had two children, a son (my father) and a daughter. . . . [Their daughter] married in 1946 and four years later was expecting a child. There is something very special for parents to anticipate a daughter (in this instance an only daughter) giving birth for the first time. No one knew that she was carrying twins. Sadly, she and the twins all died during childbirth. ¶ My grandparents were heartbroken. Their grief, however, immediately turned them to the Lord and His Atonement. Without dwelling on why this could happen and who might be to blame, they focused on living a righteous life. My grandparents never had wealth; they were never among the socially elite; they never held high position in the Church — they were simply devoted Latter-day Saints. . . .  ¶ The faithfulness of Grandpa Art and Grandma Lou, especially when faced with difficulty, has now influenced four generations that have followed. Directly and profoundly, it affected their son (my father) and my mother when my parents' own daughter, their youngest child, died due to complications caused by giving birth. At 34 years of age, she passed away 10 days after childbirth, leaving 4 children, 10 days to 8 years old. With the example that they had seen in the previous generation, my parents — without hesitation — turned to the Lord for solace""",False
CFM_BM_2019_T.xml,men,Ezra Taft Benson,"""A Mighty Change of Heart,"" Ensign, Oct. 1989, 4","""When we have undergone this mighty change, which is brought about only through faith in Jesus Christ and through the operation of the Spirit upon us, it is as though we have become a new person. Thus, the change is likened to a new birth. Thousands of you have experienced this change. You have forsaken lives of sin, sometimes deep and offensive sin, and through applying the blood of Christ in your lives, have become clean. You have no more disposition to return to your old ways. You are in reality a new person. This is what is meant by a change of heart""",False
CFM_BM_2019_T.xml,men,Ezra Taft Benson,"""Think on Christ,"" Ensign, Apr. 1984, 10–11","""The mind has been likened to a stage on which only one act at a time can be performed. From one side of the wings the Lord, who loves you, is trying to put on the stage of your mind that which will bless you. From the other side of the wings the devil, who hates you, is trying to put on the stage of your mind that which will curse you. ¶ You are the stage manager — you are the one who decides which thought will occupy the stage. . . . You will be what you think about — what you consistently allow to occupy the stage of your mind. . . .  ¶ If thoughts make us what we are, and we are to be like Christ, we must think Christlike thoughts""",False
CFM_BM_2019_T.xml,men,Ezra Taft Benson,"""The Book of Mormon — Keystone of Our Religion,"" Ensign, Nov. 1986, 6","""The Nephites never had the book; neither did the Lamanites of ancient times. It was meant for us. ... ¶ Each of the major writers of the Book of Mormon testified that he wrote for future generations [see 2 Nephi 25:21; Jacob 1:3; Mormon 7:1; 8:34–35]. ...  ¶ If they saw our day, and chose those things which would be of greatest worth to us, is not that how we should study the Book of Mormon? We should constantly ask ourselves, «Why did the Lord inspire Mormon (or Moroni or Alma) to include that in his record? What lesson can I learn from that to help me live in this day and age?»""",False
CFM_BM_2019_T.xml,men,Ezra Taft Benson,"Teachings of Presidents of the Church: Ezra Taft Benson [2014], 244","""Only the wholesome have the capacity to lift and encourage one another to greater service, to greater achievement, to greater strength""",False
CFM_BM_2019_T.xml,men,George Washington,"Letter to Samuel Langdon, Sept. 28, 1789, founders.archives.gov/documents/Washington/05–04–02–0070","""The man must be bad indeed who can look upon the events of the American Revolution without feeling the warmest gratitude towards the great Author of the Universe whose divine interposition was so frequently manifest in our behalf""",False
CFM_BM_2019_T.xml,men,Gordon B. Hinckley,"Teachings of Presidents of the Church: Gordon B. Hinckley [2016], 338","""Paul wrote to Timothy: «God hath not given us the spirit of fear; but of power, and of love, and of a sound mind. Be not thou therefore ashamed of the testimony of our Lord» (2 Tim. 1:7–8). I wish that every member of this church would put those words where he might see them every morning as he begins his day. They would give us the courage to speak up, they would give us the faith to try, they would strengthen our conviction of the Lord Jesus Christ""",False
CFM_BM_2019_T.xml,men,Gordon B. Hinckley,"""Converts and Young Men,"" Ensign, May 1997, 48","""is a work for everyone. It is a work for home teachers and visiting teachers [now ministering brothers and sisters]. It is a work for the bishopric, for the priesthood quorums, for the Relief Society, the young men and young women, even the Primary. ¶ I was in a fast and testimony meeting only last Sunday. A 15- or 16–year-old boy stood before the congregation and said that he had decided to be baptized. ¶ Then one by one, boys of the teachers quorum stepped to the microphone to express their love for him, to tell him that he was doing the right thing, and to assure him that they would stand with him and help him. It was a wonderful experience to hear those young men speak words of appreciation and encouragement to their friend. I am satisfied that all of those boys, including the one who was baptized last week, will go on missions. ¶ In a recent press interview I was asked, «What brings you the greatest satisfaction as you see the work of the Church today?» ¶ My response: «The most satisfying experience I have is to see what this gospel does for people. It gives them a new outlook on life. It gives them a perspective that they have never felt before. It raises their sights to things noble and divine. Something happens to them that is miraculous to behold. They look to Christ and come alive.» ¶ ... I ask each of you to please help in this undertaking""",False
CFM_BM_2019_T.xml,men,Gordon B. Hinckley,"Teachings of Gordon B. Hinckley [1997], 360–61","""I haven't had any results from my work. I have wasted my time and my father's money. It's been a waste of time. . . . I baptized only one person during the two years that I have been here. That was a twelve-year-old boy up in the back hollows of Tennessee."" ""I discovered that, as the result of the baptism of that one little boy in the back hollows of Tennessee by a missionary who thought he had failed, more than 1,100 people have come into the Church""",True
CFM_BM_2019_T.xml,men,Gordon B. Hinckley,"Teachings of Gordon B. Hinckley [1997], 260–61","""How do we recognize the promptings of the Spirit?"" | ""I don't think [it's] too difficult, really. ... Does it persuade one to do good, to rise, to stand tall, to do the right thing, to be kind, to be generous? Then it is of the Spirit of God""",True
CFM_BM_2019_T.xml,men,Harold B. Lee,"Teachings of Presidents of the Church: Harold B. Lee [2000], 43","""That which you possess today in testimony will not be yours tomorrow unless you do something about it""",False
CFM_BM_2019_T.xml,men,Henry B. Eyring,"""Is Not This the Fast That I Have Chosen?"" Ensign, May 2015, 22","""When we offer succor to anyone, the Savior feels it as if we reached out to succor Him""",False
CFM_BM_2019_T.xml,men,Henry B. Eyring,"""Gifts of the Spirit for Hard Times,"" Ensign, June 2007, 23","""If you have felt the influence of the Holy Ghost today, you may take it as evidence that the Atonement is working in your life""",False
CFM_BM_2019_T.xml,men,Henry B. Eyring,"""My Peace I Leave with You,"" Ensign, May 2017, 16","""Moroni said that when he «heard these words,» he «was comforted» (Ether 12:29). They can be a comfort to all of us. Those who do not see their weaknesses do not progress. Your awareness of your weakness is a blessing as it helps you remain humble and keeps you turning to the Savior. The Spirit not only comforts you, but He is also the agent by which the Atonement works a change in your very nature. Then weak things become strong""",False
